residueCount,resolution,structureMolecularWeight,crystallizationTempK,densityMatthews,densityPercentSol,phValue
665,0.0019,77.23929,293.0,3.68,66.6,6.1
374,0.002,42.52839,298.0,3.5,64.84,4.6
373,0.0025,42.413160000000005,298.0,2.59,52.46,7.5
1956,0.0029,220.50655,315.0,2.72,54.76,6.8
170,0.0015500000000000002,19.22601,293.0,2.33,47.25,7.5
231,0.0019,25.12916,293.0,4.38,71.9,8.0
184,0.00115,20.926180000000002,298.0,1.94,36.44,7.5
1140,0.00175,136.0488,289.0,2.48,50.45,5.5
1140,0.00175,136.0488,289.0,2.48,50.45,5.5
164,0.00189,18.871560000000002,277.0,2.8,56.05,6.9
164,0.00206,18.871560000000002,277.0,2.81,56.29,6.9
606,0.00294,65.50696,298.0,3.64,66.24,7.6
686,0.0017800000000000001,79.49598,298.0,2.8,56.1,10.3
297,0.00204,35.319160000000004,277.0,2.8,56.0,5.6
297,0.00204,35.319160000000004,277.0,2.8,56.0,5.6
297,0.00204,35.319160000000004,277.0,2.8,56.0,5.6
164,0.0020499999999999997,18.871560000000002,277.0,2.79,55.96,6.9
164,0.00197,18.871560000000002,277.0,2.81,56.28,6.9
164,0.0021200000000000004,18.94371,277.0,2.79,55.86,6.9
106,0.0017,12.72099,277.0,2.93,58.09,7.8
602,0.002,68.31647000000001,293.0,2.5,50.9,6.1
1092,0.0017,126.24785000000001,291.0,2.38,48.36,8.5
2288,0.0029,253.19311,294.0,2.77,55.6,6.5
572,0.0025,63.35736,294.0,2.39,48.62,8.5
1724,0.0028,193.64161,295.0,2.44,49.51,7.2
198,0.0018100000000000002,22.21821,277.0,2.72,54.75,5.5
198,0.00185,22.42239,293.0,2.19,43.88,5.5
184,0.00121,20.761470000000003,277.0,2.13,42.15,7.4
115,0.0011,12.98291,295.0,1.0,35.3,8.0
115,0.0011,12.98291,295.0,1.0,35.3,8.0
128,0.0019,14.2553,278.0,2.02,39.19,4.8
864,0.0028,94.48754,298.0,2.23,44.8,4.6
864,0.0028,94.48754,298.0,2.23,44.8,4.6
116,0.0022500000000000003,13.10875,293.0,2.19,43.72,5.75
116,0.0022500000000000003,13.10875,293.0,2.19,43.72,5.75
116,0.0022500000000000003,13.09072,293.0,2.17,43.23,5.75
116,0.0022500000000000003,13.06667,293.0,2.17,43.28,5.75
432,0.002,47.461650000000006,298.0,2.71,54.59,7.0
432,0.002,47.461650000000006,298.0,2.71,54.59,7.0
324,0.0021000000000000003,38.646269999999994,293.0,2.43,49.43,8.0
378,0.0023,42.26421,277.0,4.0,68.3,7.5
524,0.0021000000000000003,58.98519,298.0,2.23,44.85,8.0
389,0.0016899999999999999,43.101620000000004,277.0,2.11,41.58,6.5
387,0.00215,43.37753,277.0,2.1,41.36,6.5
776,0.002,85.48427000000001,277.0,2.1,41.41,6.5
422,0.002,47.75965,298.0,2.45,49.85,6.0
653,0.003,73.32278,287.0,5.92,79.22,6.3
214,0.00185,23.901220000000002,297.0,2.2,44.15,8.0
130,0.00223,15.20519,298.0,1.97,37.65,4.5
130,0.00196,15.22818,298.0,1.95,36.86,4.5
281,0.0023,29.75582,291.0,2.38,48.33,8.0
281,0.0023,29.75582,291.0,2.38,48.33,8.0
644,0.0023,69.61734,297.0,2.83,56.55,7.0
